term,variance,chi2,mutual_info,idf,avg_importance
beban,0.1715013567488796,0.15516436034459122,0.29031373135817345,,0.20565981615054807
bidang,0.14512214065611956,0.4065618956808428,0.04081250935208772,,0.1974988485630167
ncermin,0.04983800110651203,0.15516436034459122,0.3761783630106243,,0.19372690815390917
mis,0.0512435523180588,0.15516436034459122,0.3658224849119657,,0.19074346585820523
kuliah,0.06152164555249521,0.24240847378073316,0.26438974512444574,,0.1894399548192247
intens,0.07082873914432458,0.15516436034459122,0.33989849867823885,,0.18863053272238486
sivitas,0.010718834796804966,0.15516436034459122,0.37947029777046265,,0.1817844976372863
entitas,0.11121663369716453,0.15516436034459122,0.25273080951668403,,0.17303726785281326
ilmu,0.0911100957728423,0.34529140942105224,0.0741433487954518,,0.1701816179964488
tantang,0.0,0.2733510250746281,0.2338021846476138,,0.16905106990741395
lahir,0.06152164555249521,0.15516436034459122,0.2726881639982049,,0.16312472329843045
mang,0.055103869025828346,0.15516436034459122,0.2653498927627318,,0.15853937404438379
alhasil,0.264244798776473,0.15516436034459122,0.053980248391442165,,0.15779646917083548
nit,0.026184582146480687,0.15516436034459122,0.28517008329592575,,0.15550634192899923
ngembang,0.04760264608293861,0.15516436034459122,0.2605491545713006,,0.15443872033294348
rapih,0.01141286007141825,0.15516436034459122,0.28420993565763925,,0.15026238535788292
canggih,0.14063660937243846,0.15516436034459122,0.15253254526410395,,0.1494445049937112
ngganggu,0.028583559458146578,0.15516436034459122,0.25190782582672533,,0.1452185818764877
knolog,0.06152164555249521,0.281988903108539,0.06509052820589625,,0.1362003589556435
sedia,0.011096258557255845,0.15516436034459122,0.23455658636341017,,0.13360573508841908
capa,0.14063660937243846,0.15516436034459122,0.10308494189236408,,0.1329619705364646
anggap,0.23113431090011832,0.15516436034459122,0.0,,0.1287662237482365
namis,0.04983800110651203,0.15516436034459122,0.17406728515137943,,0.12635654886749423
ban,0.21569304406904044,0.15516436034459122,0.0,,0.1236191348045439
rkualitas,0.011096258557255845,0.3589045352853302,0.0,,0.12333359794752867
ngalam,0.04983800110651203,0.15516436034459122,0.1416280113721391,,0.11554345760774744
sop,0.010718834796804966,0.15516436034459122,0.17029527657239896,,0.11205949057126503
ngetahu,0.028583559458146578,0.30326351929784323,0.0029552596139472437,,0.11160077945664569
rokok,0.011096258557255845,0.15516436034459122,0.16645468601925295,,0.11090510164036667
butuh,0.14063660937243846,0.15516436034459122,0.036080353134820276,,0.11062710761728332
salah,0.011096258557255845,0.27182597195966063,0.04739637887176448,,0.11010620312956032
seminggu,0.011096258557255845,0.15516436034459122,0.16343707915606792,,0.10989923268597167
mandir,0.055103869025828346,0.15516436034459122,0.11268641827522727,,0.10765154921521562
dosen,0.11820474043126897,0.15516436034459122,0.04945383809666301,,0.10760764629084107
